title,description
Asbestos Safety Training Program Approval,"Businesses that teach people how to handle asbestos need approval from the New York State Department of Health (NYSDOH), proving that the business follows state rules."
Carriage Handling Course,The Horse Drawn Carriage Operator's Course is offered by the Department of Health and Mental Hygiene's Health Academy.
"Curriculum or a Course of Study, Approval of","Schools need their courses approved. This includes business, trade and public schools. The New York State Education Department (NYSED) approves them."
"Engineering or Land Surveying Services, Certificate of Authorization to Provide Professional","If you want to offer professional engineering and/or land surveying services in New York State, you need a certificate from the New York State Education Department (NYSED). Certification is valid for three years."
Food Protection Course for Mobile Vendors,The Food Protection Course for Mobile Food Vendors teaches you how to keep food from New York City's food carts and trucks safe.
Home Health Aide Training Program Approval,"To train home health aides, programs need a certificate from the New York State Department of Health (NYSDOH)."
Infection Control Course for Tattoo Artists,"To get a Tattoo Artist License, you must successfully complete the Infection Control Course. This course is three hours long. It happens twice a month. The Department of Health and Mental Hygiene's (DOHMH) Health Academy runs the course. After you finish the course and pass the final written exam, you will get your Tattoo Artist License from the Citywide Licensing Center."
Real Estate Course Approval,"Courses for real estate brokers, appraisers and salespeople need approval from the New York State Department of State (NYSDOS). Schools, groups and colleges can offer these courses."
Swimming Pool Operation Technology Course,"In New York City, you need a Pool Operator Certificate to run a pool. This is for places like health clubs, apartment buildings and hotels. This certificate shows you know how to safely operate and maintain pool treatment equipment. You can find a list of approved courses and providers on the New York State Department of Health website."
Administrative Hearings Held at OATH's Hearings Division,The OATH Hearings Division is part of the NYC Office of Administrative Trials and Hearings (OATH). Hearing Officers at OATH hear cases about summonses which charge someone broke a City rule or law.
Correcting and Responding to Violations,A Fire Department of New York (FDNY) violation means a property is not in compliance with the New York City Fire Code and Fire Department Rules and Regulations.
Department of Buildings Violations Information,"The NYC Construction Codes require owners to build and keep their properties safe. Inspectors from the Department of Buildings (DOB) issue violations and Office of Administrative Trials and Hearings (OATH) Summonses when a property or construction does not follow these codes, the Zoning Resolution, and other laws."
Fleet Program,The Department of Finance's fleet programs help businesses manage parking tickets online.
NYC Delivery Solutions: the Stipulated Parking Fine Program,Businesses that make deliveries can pay parking tickets at a lower cost by giving up their right to a hearing.
Settle a Food Service Establishment Violation,The Office of Administrative Trials and Hearings (OATH) helps food service establishments settle violations. These violations are given by a Department of Health inspector. The settlement offer is less than the minimum penalty recommended for all the violations found by the inspector.
Mobile Food Vendor Permit - Temporary (Seasonal),"If you want to prepare and serve food from a cart or truck, you need a Mobile Food Vendor (MFV) permit. This permit lets you sell food from April 1 to October 31 each year."
